날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 02월 25일,"12,600 ","12,800 ","12,850 ","12,550 ","22,395,000 ",-0.40%
2019년 02월 22일,"12,650 ","12,550 ","12,800 ","12,450 ","25,083,000 ",0.40%
2019년 02월 21일,"12,600 ","12,900 ","13,100 ","12,550 ","48,105,000 ",-2.33%
2019년 02월 20일,"12,900 ","13,000 ","13,150 ","12,800 ","23,761,000 ",-1.15%
2019년 02월 19일,"13,050 ","13,050 ","13,150 ","12,600 ","35,352,000 ",0.38%
2019년 02월 18일,"13,000 ","12,950 ","13,300 ","12,700 ","38,740,000 ",1.56%
2019년 02월 15일,"12,800 ","13,350 ","13,400 ","12,750 ","41,760,000 ",-4.48%
2019년 02월 14일,"13,400 ","12,850 ","13,600 ","12,700 ","1,190,000 ",5.93%
2019년 02월 13일,"12,650 ","12,750 ","12,800 ","12,500 ","30,441,000 ",0.40%
2019년 02월 12일,"12,600 ","12,350 ","12,750 ","12,350 ","36,625,000 ",1.20%
2019년 02월 11일,"12,450 ","12,600 ","12,600 ","12,050 ","43,931,000 ",-0.80%
2019년 02월 08일,"12,550 ","12,650 ","12,950 ","12,350 ","30,664,000 ",-1.57%
2019년 02월 07일,"12,750 ","12,900 ","13,050 ","12,600 ","48,293,000 ",-0.78%
2019년 02월 01일,"12,850 ","13,000 ","13,300 ","12,600 ","55,883,000 ",-0.39%
2019년 01월 31일,"12,900 ","13,750 ","13,900 ","12,850 ","83,689,000 ",-5.15%
2019년 01월 30일,"13,600 ","12,650 ","13,700 ","12,500 ","1,360,000 ",7.94%
2019년 01월 29일,"12,600 ","11,950 ","12,650 ","11,750 ","69,421,000 ",5.00%
2019년 01월 28일,"12,000 ","12,100 ","12,250 ","11,700 ","50,040,000 ",-0.83%
2019년 01월 25일,"12,100 ","11,050 ","12,100 ","11,000 ","88,333,000 ",10.50%
2019년 01월 24일,"10,950 ","11,050 ","11,250 ","10,900 ","36,500,000 ",-0.90%
2019년 01월 23일,"11,050 ","11,000 ","11,400 ","10,950 ","37,954,000 ",-0.90%
2019년 01월 22일,"11,150 ","11,600 ","11,650 ","11,100 ","35,036,000 ",-3.46%
2019년 01월 21일,"11,550 ","10,900 ","11,550 ","10,800 ","51,257,000 ",8.45%
2019년 01월 18일,"10,650 ","10,750 ","10,900 ","10,550 ","29,243,000 ",-0.47%
2019년 01월 17일,"10,700 ","10,900 ","11,000 ","10,700 ","18,500,000 ",-1.38%
2019년 01월 16일,"10,850 ","11,000 ","11,150 ","10,700 ","31,680,000 ",-0.91%
2019년 01월 15일,"10,950 ","10,950 ","11,100 ","10,850 ","14,615,000 ",0.92%
2019년 01월 14일,"10,850 ","11,000 ","11,050 ","10,750 ","16,065,000 ",-0.91%
2019년 01월 11일,"10,950 ","11,000 ","11,100 ","10,900 ","22,066,000 ",0.46%
2019년 01월 10일,"10,900 ","10,700 ","11,200 ","10,700 ","26,559,000 ",1.87%
2019년 01월 09일,"10,700 ","10,300 ","10,850 ","10,300 ","31,773,000 ",3.88%
2019년 01월 08일,"10,300 ","10,000 ","10,500 ","10,000 ","21,033,000 ",2.49%
2019년 01월 07일,"10,050 ","10,250 ","10,550 ","9,990 ","56,787,000 ",-0.50%
2019년 01월 04일,"10,100 ","10,000 ","10,250 ","9,980 ","21,139,000 ",0.00%
2019년 01월 03일,"10,100 ","10,350 ","10,450 ","10,000 ","25,857,000 ",-3.81%
2019년 01월 02일,"10,500 ","10,850 ","10,950 ","10,300 ","22,321,000 ",-3.23%
2018년 12월 28일,"10,850 ","10,750 ","10,950 ","10,550 ","12,684,000 ",1.40%
2018년 12월 27일,"10,700 ","10,400 ","10,900 ","10,350 ","24,103,000 ",3.88%
2018년 12월 26일,"10,300 ","10,500 ","10,600 ","10,200 ","28,779,000 ",-3.29%
2018년 12월 24일,"10,650 ","10,800 ","10,900 ","10,600 ","14,566,000 ",-1.39%
2018년 12월 21일,"10,800 ","10,850 ","11,150 ","10,800 ","31,567,000 ",-0.46%
2018년 12월 20일,"10,850 ","11,100 ","11,200 ","10,750 ","20,801,000 ",-3.13%
2018년 12월 19일,"11,200 ","11,050 ","11,300 ","11,050 ","13,805,000 ",1.36%
2018년 12월 18일,"11,050 ","11,150 ","11,200 ","10,900 ","20,568,000 ",-1.78%
2018년 12월 17일,"11,250 ","11,100 ","11,250 ","10,950 ","16,990,000 ",1.81%
2018년 12월 14일,"11,050 ","11,500 ","11,500 ","11,050 ","20,488,000 ",-4.33%
2018년 12월 13일,"11,550 ","11,200 ","11,550 ","11,100 ","24,891,000 ",3.59%
2018년 12월 12일,"11,150 ","10,800 ","11,300 ","10,800 ","28,339,000 ",3.24%
2018년 12월 11일,"10,800 ","11,000 ","11,150 ","10,750 ","20,270,000 ",-1.37%
