날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 08월 13일,"74,500 ","74,000 ","75,100 ","73,700 ","1,290,000 ",0.00%
2019년 08월 12일,"74,500 ","73,700 ","75,000 ","73,500 ","1,250,000 ",1.64%
2019년 08월 09일,"73,300 ","73,200 ","74,100 ","72,300 ","2,060,000 ",1.38%
2019년 08월 08일,"72,300 ","73,600 ","74,500 ","72,000 ","2,890,000 ",-1.36%
2019년 08월 07일,"73,300 ","72,000 ","74,300 ","72,000 ","2,690,000 ",1.81%
2019년 08월 06일,"72,000 ","73,100 ","73,900 ","71,900 ","5,000,000 ",-4.51%
2019년 08월 05일,"75,400 ","75,500 ","76,000 ","74,900 ","2,840,000 ",-0.92%
2019년 08월 02일,"76,100 ","75,400 ","76,800 ","74,900 ","4,830,000 ",-2.06%
2019년 08월 01일,"77,700 ","75,300 ","78,700 ","75,300 ","3,400,000 ",1.04%
2019년 07월 31일,"76,900 ","78,000 ","79,100 ","75,300 ","3,650,000 ",-2.53%
2019년 07월 30일,"78,900 ","78,200 ","80,000 ","77,700 ","2,330,000 ",2.47%
2019년 07월 29일,"77,000 ","79,000 ","79,400 ","76,500 ","2,610,000 ",-3.51%
2019년 07월 26일,"79,800 ","78,100 ","80,300 ","78,000 ","3,060,000 ",0.76%
2019년 07월 25일,"79,200 ","79,700 ","80,400 ","77,700 ","3,960,000 ",2.06%
2019년 07월 24일,"77,600 ","78,800 ","80,200 ","77,100 ","3,560,000 ",-1.52%
2019년 07월 23일,"78,800 ","79,700 ","80,700 ","78,200 ","4,800,000 ",0.51%
2019년 07월 22일,"78,400 ","77,800 ","79,200 ","77,000 ","3,210,000 ",2.08%
2019년 07월 19일,"76,800 ","75,900 ","77,000 ","75,600 ","2,620,000 ",2.81%
2019년 07월 18일,"74,700 ","74,300 ","75,200 ","73,900 ","1,900,000 ",0.13%
2019년 07월 17일,"74,600 ","74,600 ","75,200 ","74,000 ","2,800,000 ",-1.97%
2019년 07월 16일,"76,100 ","74,800 ","76,500 ","74,800 ","2,400,000 ",-0.13%
2019년 07월 15일,"76,200 ","74,500 ","76,500 ","74,400 ","2,110,000 ",2.01%
2019년 07월 12일,"74,700 ","75,600 ","75,800 ","74,400 ","2,590,000 ",-1.06%
2019년 07월 11일,"75,500 ","74,000 ","75,500 ","74,000 ","5,100,000 ",3.57%
2019년 07월 10일,"72,900 ","71,500 ","73,400 ","71,000 ","4,340,000 ",4.44%
2019년 07월 09일,"69,800 ","68,400 ","70,500 ","67,900 ","2,900,000 ",3.56%
2019년 07월 08일,"67,400 ","66,400 ","68,000 ","66,200 ","2,200,000 ",-1.46%
2019년 07월 05일,"68,400 ","70,300 ","71,000 ","68,400 ","2,040,000 ",-2.56%
2019년 07월 04일,"70,200 ","69,600 ","70,700 ","69,300 ","1,500,000 ",1.59%
2019년 07월 03일,"69,100 ","71,100 ","71,700 ","69,000 ","2,700,000 ",-3.22%
2019년 07월 02일,"71,400 ","69,700 ","71,700 ","69,100 ","2,480,000 ",2.00%
2019년 07월 01일,"70,000 ","71,000 ","71,000 ","69,700 ","3,530,000 ",0.72%
2019년 06월 28일,"69,500 ","70,900 ","70,900 ","68,400 ","3,110,000 ",-1.00%
2019년 06월 27일,"70,200 ","70,100 ","71,600 ","69,700 ","5,320,000 ",1.89%
